Title,Employer,Location,Wage,Deadline,Posted,URL
2025 Software Engineering Apprentice - Cheadle,THALES UK LIMITED,"Stockport, SK3 0XB","£22,500",13 days (Sunday 16 February),21 October,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000283266
2025 Sonar Algorithms Apprentice,THALES UK LIMITED,"Templecombe, BA8 0DH","£22,500",13 days (Sunday 16 February),28 October,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000284404
Apprentice (Data Scientist),United Utilities,"Cheshire, WA5 3LP","£20,000",16 days (Wednesday 19 February),30 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000299530
Apprenticeship Engineering Data Scientist - Level 6,Caterpillar (U.K.) Ltd,"Peterborough, PE1 5FQ","£24,931",20 days (Sunday 23 February),20 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000297211
Business Systems Apprentice,SCHNEIDER ELECTRIC LIMITED,"Stafford Park 5 Telford Shropshire, TF3 3BL","£23,000",Closes on Friday 28 March 2025,27 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000297157
Business Systems Technician Apprentice,GB Electronics Ltd,"West Sussex, BN12 4QY","£19,000",Closes on Friday 30 May 2025,7 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000294702
Consultant Apprentice,KYNDRYL UK LIMITED,"Liverpool, L3 1BP","£23,000",3 days (Thursday 6 February),13 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000295629
Cyber Security Apprentice (Degree),Science and Technology Facilities Council,"Oxfordshire, OX11 0QX","£23,186",13 days (Sunday 16 February),9 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000295497
Cyber Security Degree Apprenticeship,Babcock International,"Bristol, GB, BS3 2HQ","£23,776",Closes on Thursday 20 March 2025,13 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000296059
Data Acquisition Software Engineer Apprentice,Science and Technology Facilities Council,"Warrington, WA4 4AD","£23,186",13 days (Sunday 16 February),9 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000295532
Data Science Consultant Apprentice,PA Consulting,"London, SW1E 5DN",Competitive,28 days (Monday 3 March),21 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000297325
Data Science Degree Apprenticeship,E.ON UK PLC,"Nottingham, NG1 4BX",Competitive,13 days (Sunday 16 February),27 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000298548
Data Scientist (A&V) Degree Apprentice – Pfizer,Cogent Ssc Limited,"Tadworth, Surrey, KT20 7NS","£20,000",13 days (Sunday 16 February),17 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000296862
Degree Apprentice - Software Engineering,Yunex Traffic,"POOLE, BH17 7ER","£22,000",18 days (Friday 21 February),5 November,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000284973
Degree Apprenticeship in DTS,E.ON UK PLC,"Nottingham, NG1 4BX",Competitive,13 days (Sunday 16 February),15 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000296515
Digital & Technology Degree Apprenticeship 2025,CAPGEMINI UK PLC,"Telford, TF3 3AY","£20,000",25 days (Friday 28 February),4 November,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000285540
Digital & Technology Degree Apprenticeship 2025,CAPGEMINI UK PLC,"Worthing, BN12 4XL","£20,000",25 days (Friday 28 February),9 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000295531
DTS - Software Specialism Level 6 Apprentice - Ipswich,BT GROUP PLC,"Ipswich, IP5 3RE","£21,840",14 days (Monday 17 February),24 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000298442
DTS - Software Specialism Level 6 Apprentice - London,BT GROUP PLC,"London, SW1A 2DB","£21,840",14 days (Monday 17 February),24 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000298451
DTS - Software Specialism Level 6 Apprentice - Manchester,BT GROUP PLC,"Salford, M3 5JL","£21,840",14 days (Monday 17 February),24 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000298476
DTS Apprentice Level 6,United Kingdom Atomic Energy Authority,"Abingdon, OX14 3DB","£20,319",18 days (Friday 21 February),24 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000298465
DTS Degree Apprenticeship 2025,SELLAFIELD LIMITED,"Seascale, CA20 1PG","£23,056",13 days (Sunday 16 February),6 December,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000290944
Digital Design & Developer Apprentice,BPW DESIGN,"Milton Keynes, MK14 6QP","£12,570",Closes on Monday 31 March 2025,22 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000297701
Digital Design Apprentice (Degree),Science and Technology Facilities Council,"Warrington, WA4 4AD","£23,186",13 days (Sunday 16 February),9 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000295553
DTS - Software Engineer Apprentice - Birmingham,BT GROUP PLC,"Birmingham, B4 6GA","£21,840",14 days (Monday 17 February),24 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000298469
DTS - Software Engineer Apprentice - London,BT GROUP PLC,"London, E1 8EE","£21,840",14 days (Monday 17 February),24 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000298478
DTS - Software Engineer Apprentice - Manchester,BT GROUP PLC,"Salford, M3 5JL","£21,840",14 days (Monday 17 February),24 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000298481
DTS Degree Apprenticeship – Software Engineering Pathway,Babcock International,"Bristol, GB, BS3 2HQ","£23,776",Closes on Thursday 20 March 2025,13 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000296065
Global Banking Technology Apprentice - Bromley,Bank of America,"Bromley, BR1 1LR",Competitive,18 days (Friday 21 February),18 December,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000292565
Global Markets Technology Apprentice,Bank of America,"Bromley, BR1 1LR",Competitive,18 days (Friday 21 February),12 November,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000286954
Global Markets Technology Apprentice – London,Bank of America,"London, EC1A 1HQ",Competitive,18 days (Friday 21 February),28 November,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000289619
IT/Data Analyst Apprentice,SCHNEIDER ELECTRIC LIMITED,"Leeds, LS10 1BA","£23,000",Closes on Friday 28 March 2025,27 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000297617
L6 DTS Apprentice (Edwards Limited),EDWARDS LIMITED,"West Sussex, RH15 9TW","£19,000",21 days (Monday 24 February at 11:59pm),19 December,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000291515
Leeds Technology Degree Apprenticeship 2025,ACCENTURE (UK) LIMITED,"Leeds, LS1 2EQ","£21,260",25 days (Friday 28 February),4 December,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000290022
Level 6 Digital and Technology Engineer Apprentice,CAPULA LIMITED,"Staffordshire, ST15 0LT",Competitive,Closes on Tuesday 1 July 2025,21 October,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000283231
Newcastle Technology Degree Apprenticeship 2025 (Data Analysis),ACCENTURE (UK) LIMITED,"Newcastle upon Tyne, NE27 0QQ","£21,260",25 days (Friday 28 February),4 December,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000290318
Newcastle Technology Degree Apprenticeship 2025 (Software Engineering),ACCENTURE (UK) LIMITED,"Newcastle upon Tyne, NE27 0QQ","£21,260",25 days (Friday 28 February),3 December,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000290313
Procurement Data Science Degree Apprentice,Veolia UK,"Cannock, WS11 8JP","£25,105",13 days (Sunday 16 February),29 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000299257
Remote Full Stack Developer Apprentice (Kaiku),KAIKU LTD,"LONDON, WC2H 9JQ","£21,000",24 days (Thursday 27 February at 11:59pm),31 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000299778
"Rolls-Royce DTS Degree Apprenticeship - Derby, UK",ROLLS-ROYCE PLC,"Derby, DE24 9BD","£20,735",18 days (Friday 21 February),14 November,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000287455
"Rolls-Royce SWE Degree Apprenticeship - Raynesway, UK",ROLLS-ROYCE PLC,"Derby, DE24 9BD","£20,735",18 days (Friday 21 February),14 November,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000287529
Software Developer Degree Apprentice,JBA Consulting,"Peterborough, PE2 6FZ","£19,555",18 days (Friday 21 February),27 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000298562
Software Developer Degree Apprentice,JBA Consulting,"North Yorkshire, BD23 3FD","£19,555",18 days (Friday 21 February),24 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000298111
Software Developer Degree Apprenticeship,KINSPEED LTD,"SHEFFIELD, S21 3WY","£15,000",10 days (Thursday 13 February at 11:59pm),28 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000298802
Software Development Consultant Apprentice,PA Consulting,"London, EC1M 3HE",Competitive,28 days (Monday 3 March),21 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000297307
Software Engineer Apprentice,Science and Technology Facilities Council,"Oxfordshire, OX11 0QX","£23,186",13 days (Sunday 16 February),9 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000295500
Software Engineering Apprentice,Science and Technology Facilities Council,"Warrington, WA4 4AD","£23,186",13 days (Sunday 16 February),10 January,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000295813
Technology Apprentice - APS & Engineering - Bromley,Bank of America,"Bromley, BR1 1LR",Competitive,18 days (Friday 21 February),26 November,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000289145
UK 2025 Cyber Security Level 4 Apprenticeship,VODAFONE LIMITED,"Farnborough, GU14 6YA","£24,640",25 days (Friday 28 February),28 October,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000284452
UK 2025 Cyber Security Level 6 Apprenticeship,VODAFONE LIMITED,"Farnborough, GU14 6YA","£24,640",25 days (Friday 28 February),28 October,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000284456
UK 2025 Data Analytics Apprenticeship,VODAFONE LIMITED,"Berkshire, RG14 2FN","£24,640",25 days (Friday 28 February),28 October,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000284465
UK 2025 Data Analytics Apprenticeship,VODAFONE LIMITED,"London, SE1 0BE","£27,000",25 days (Friday 28 February),28 October,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000284467
UK 2025 MES Network Engineer Apprenticeship,VODAFONE LIMITED,"Berkshire, RG14 2FN","£24,640",25 days (Friday 28 February),28 October,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000284438
UK 2025 MES Network Engineer Apprenticeship,VODAFONE LIMITED,"Birmingham, B10 0HJ","£24,640",25 days (Friday 28 February),28 October,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000284443
UK 2025 MES Network Engineer Apprenticeship,VODAFONE LIMITED,"Manchester, M1 1WR","£24,640",25 days (Friday 28 February),28 October,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000284444
UK 2025 MES Network Engineer Apprenticeship,VODAFONE LIMITED,"Gloucester, GL1 2DH","£24,640",25 days (Friday 28 February),28 October,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000284445
UK 2025 MES Network Engineer Apprenticeship,VODAFONE LIMITED,"Bristol, BS1 3ED","£24,640",25 days (Friday 28 February),28 October,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000284448
UK 2025 MES Network Engineer Apprenticeship,VODAFONE LIMITED,"Swindon, SN1 1LD","£24,640",25 days (Friday 28 February),28 October,https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC1000284449
